region,distance_to_ukraine
Central Federal District,860
Northwestern Federal District,1244
Southern Federal District (since 2010),938
North Caucasian Federal District,1448
Volga Federal District,1287
Ural federal district,2667
Siberian Federal District,4016
Far Eastern Federal District,9001
Southern Federal District (in 2009),938
Crimean Federal District,811
Belgorod region,560
Bryansk region,515
Vladimir region,1057
Voronezh region,735
Ivanovo region,1169
Kaluga region,706
Kostroma region,1219
Kursk region,488
Lipetsk region,781
Moscow region,860
Oryol Region,533
Ryazan Oblast,902
Smolensk region,767
Tambov Region,914
Tver region,991
Tula region,723
Moscow,860
The Republic of Karelia,1652
Komi Republic,2185
Arhangelsk region,2114
Nenets Autonomous Okrug,3375
Vologda Region,1348
Kaliningrad region,1042
Leningrad region,1244
Murmansk region,2563
Novgorod region,1118
Pskov region,959
Saint Petersburg,1244
Republic of Adygea,1331
Republic of Kalmykia,1332
Krasnodar region,1196
Astrakhan region,1650
Volgograd region,1311
Rostov region,938
The Republic of Dagestan,1871
The Republic of Ingushetia,1642
Kabardino-Balkaria,1525
Karachay-Cherkess Republic,1367
Republic of North Ossetia - Alania,1635
Chechen Republic,1722
Stavropol region,1285
Republic of Bashkortostan,2038
Mari El Republic,1632
The Republic of Mordovia,1332
Republic of Tatarstan,1686
Udmurt republic,2084
Chuvash Republic,1540
Perm Region,2316
Kirov region,1831
Nizhny Novgorod Region,1287
Orenburg region,2055
Penza region,1208
Samara Region,1616
Saratov region,1241
Ulyanovsk region,1560
Kurgan region,2714
Sverdlovsk region,2667
Tyumen region,2865
Khanty-Mansi Autonomous Okrug,3479
Yamalo-Nenets Autonomous Okrug,5116
Chelyabinsk region,2440
Altai Republic,4462
The Republic of Buryatia,6284
Tyva Republic,5305
The Republic of Khakassia,4906
Altai region,4241
Transbaikal region,6903
Krasnoyarsk region,4798
Irkutsk region,5852
Kemerovo region,4269
Novosibirsk region,4016
Omsk region,3361
Tomsk region,4275
The Republic of Sakha (Yakutia),8986
Kamchatka Krai,7522.47
Primorsky Krai,9755
Khabarovsk region,9001
Amur region,8479
Magadan Region,10919
Sakhalin region,9910
Jewish Autonomous Region,8823
Chukotka Autonomous Okrug,12520
Yaroslavl region,1147
Arkhangelsk region (without autonomous districts),2114
Tyumen region (without autonomous districts),2865
Sevastopol,892
Republic of Crimea,811
